controller,scenario,minimum,lower_quartile,median,upper_quartile,maximum,outliers
cpg,0,0.196,0.22,0.24,0.248,0.27,"[]"
cpg,1,0.01,0.11,0.17,0.21,0.34,"[]"
cpg,2,0.01,0.08,0.13,0.17,0.25,"[0.12]"
cpg,3,0.0,0.075,0.12,0.168,0.26,"[]"
cpg,4,0.04,0.06,0.08,0.12,0.2,"[]"
neat,0,0.9,0.92,0.93,0.95,0.995,"[0.95,0.97, 0.93]"
neat,1,0.59,0.7,0.79,0.85,0.934,"[]"
neat,2,0.5,0.62,0.68,0.765,0.92,"[]"
neat,3,0.41,0.57,0.65,0.72,0.9,"[0.23, 0.24, 0.65, 0.65, 0.7, 0.7, 0.8]"
neat,4,0.24,0.43,0.567,0.625,0.775,"[]"
hyperneat,0,0.57,0.59,0.595,0.61,0.618,"[0.52]"
hyperneat,1,0.29,0.37,0.425,0.47,0.61,"[]"
hyperneat,2,0.202,0.3,0.408,0.44,0.54,"[]"
hyperneat,3,0.198,0.347,0.403,0.48,0.69,"[0.73,0.76, 0.5, 0.4, 0.4, 0.3, 0.35, 0.25, 0.35]"
hyperneat,4,0.1,0.25,0.29,0.37,0.56,"[0.6,0.61,0.65,0.67,0.15,0.15,0.2,0.25,0.25,0.25, 0.1, 0.25,0.25,0.15,0.15,0.15,0.15]"
reference,0,0.301,0.302,0.302,0.303,0.303,"[0.31]"
reference,1,0.295,0.299,0.2995,0.2997,0.2998,"[0.275, 0.285, 0.282, 0.295, 0.295, 0.296, 0.2994, 0.2996]"
reference,2,0.287,0.29,0.291,0.291,0.294,"[0.284,0.285]"
reference,3,0.22,0.26,0.285,0.29,0.295,"[]"
reference,4,0.16,0.17,0.185,0.21,0.26,"[]"
supg,0,0.6452136499712545,0.702424472477809,0.7282180020022245,0.7427223001923657,0.7641437419410047,[]
supg,1,0.11611310547177228,0.34572771499147525,0.4253017605357285,0.5368035113755417,0.6646532834636353,[]
supg,2,0.12391261788658671,0.1768957469505522,0.28124205972007077,0.3841518047381631,0.6868514137802444,[]
supg,3,0.0574312049300198,0.1007743330813708,0.14041820598467214,0.21884570703777734,0.38,[]
supg,4,0.054143654756468144,0.12473104780383562,0.28668935350172975,0.3965205418611728,0.5479500646290153,[]
