niche,map_id,scenario,best_performance,combination
5000,1,1,4.403269233111537,1
5000,2,1,4.271440861462337,1
5000,3,1,4.8129998290322495,1
5000,4,1,4.651695068866374,1
5000,5,1,4.492795513518033,1
5000,6,1,4.445686620449034,1
5000,7,1,4.399612792041008,1
5000,8,1,4.316800585071281,1
5000,9,1,4.6455380936793915,1
5000,10,1,4.435673198058202,1
5000,11,1,4.2557782477817625,1
5000,12,1,4.227789903327182,1
5000,13,1,4.471898936967271,1
5000,14,1,4.399445951457424,1
5000,15,1,5.001267399815058,1
5000,16,1,4.122152100243093,1
5000,17,1,4.486598512536579,1
5000,18,1,4.56671299350911,1
5000,19,1,4.37600206390511,1
5000,20,1,4.508107855206498,1
5000,1,2,1.0680639704900645,1
5000,2,2,1.870995821335113,1
5000,3,2,0.6048854963455116,1
5000,4,2,2.7696617889143225,1
5000,5,2,0.7677145271886322,1
5000,6,2,2.462582650810031,1
5000,7,2,1.4353426477902884,1
5000,8,2,2.371757275415439,1
5000,9,2,0.7342414973936973,1
5000,10,2,0.7384000315693405,1
5000,11,2,2.489307624889415,1
5000,12,2,1.2963343057083827,1
5000,13,2,0.7135919182098245,1
5000,14,2,1.2390718040609008,1
5000,15,2,2.8524712594281914,1
5000,16,2,2.1097809565011367,1
5000,17,2,0.8556154240687321,1
5000,18,2,1.0337906925207547,1
5000,19,2,1.6700841719203074,1
5000,20,2,0.6689480664939265,1
5000,1,2,2.6601058493436978,2
5000,2,2,2.514856438039156,2
5000,3,2,1.2664973697790551,2
5000,4,2,2.154012538402921,2
5000,5,2,2.4246559947453696,2
5000,6,2,2.0719474330990884,2
5000,7,2,2.237614838080241,2
5000,8,2,1.1261039294562782,2
5000,9,2,3.7233909089064596,2
5000,10,2,2.943387497649162,2
5000,11,2,2.4648472257465635,2
5000,12,2,0.7747393011868896,2
5000,13,2,2.5652489347528666,2
5000,14,2,2.6175566086461015,2
5000,15,2,1.9353454775828443,2
5000,16,2,2.724099002702277,2
5000,17,2,1.967598318653245,2
5000,18,2,1.1054037623118296,2
5000,19,2,2.0991318481801047,2
5000,20,2,1.032840912002584,2
5000,1,2,2.5481964857171278,3
5000,2,2,2.8475835850987004,3
5000,3,2,3.642339994581262,3
5000,4,2,2.9585867631424745,3
5000,5,2,3.420919010282573,3
5000,6,2,3.114120305720845,3
5000,7,2,2.9509916596695183,3
5000,8,2,3.2311222548083407,3
5000,9,2,3.410399793795665,3
5000,10,2,2.8901263818778364,3
5000,11,2,2.348964801699548,3
5000,12,2,1.6529049316245978,3
5000,13,2,3.4722614484946597,3
5000,14,2,2.7641903077479233,3
5000,15,2,3.1843352221080075,3
5000,16,2,3.316115899894439,3
5000,17,2,3.226975779444702,3
5000,18,2,3.508372567503813,3
5000,19,2,3.303607850609959,3
5000,20,2,3.6719020444289514,3
5000,1,2,4.204123809774265,4
5000,2,2,3.676021598642894,4
5000,3,2,3.9362996945385564,4
5000,4,2,3.4594811299773545,4
5000,5,2,3.7616170350179887,4
5000,6,2,3.240549504145689,4
